Longitud (m);Ancho de Puente (m);Sep Vigas Longitudinales (m);N° Paneles;Altura (m);Disposicion de Arriostre;Forma de Arriostre;Dim. Arriostre;Forma de Cordones;Dimension de Cordon Sup/Inf;Forma de Diagonales;Dim. Diag. S/I;Forma de Montante;Dim. Montante;Peso total (ton)
57;11.6;2.1;6;6.2;Cruz;T;150x150x12.5;Cajon HSS;426x436x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;131.19
57;11.6;2.1;6;6.2;Cruz;L;150x150x12.5;Cajon HSS;436x406x19.0;Cajon HSS;410x390x16.0;Cajon HSS;200x200x12.5;129.06
57;11.6;2.1;6;6.3;Cruz;T;150x150x12.5;Cajon HSS;406x416x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;127.02
57;11.6;2.1;6;6.3;Cruz;L;150x150x12.5;Cajon HSS;416x426x19.0;Cajon HSS;400x400x16.0;Cajon HSS;200x200x12.5;129.15
57;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;426x436x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;131.37
57;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;436x406x19.0;Cajon HSS;410x390x16.0;Cajon HSS;200x200x12.5;129.24
57;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;406x416x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;127.2
57;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;416x426x19.0;Cajon HSS;400x400x16.0;Cajon HSS;200x200x12.5;129.33
57;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;426x436x19.0;Cajon HSS;400x410x16.0;Cajon HSS;200x200x12.5;131.55
57;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;436x406x19.0;Cajon HSS;410x390x16.0;Cajon HSS;200x200x12.5;129.42
57;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;406x416x19.0;Cajon HSS;390x400x16.0;Cajon HSS;200x200x12.5;127.37
57;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;416x426x19.0;Cajon HSS;400x400x16.0;Cajon HSS;200x200x12.5;129.51
58;11.6;2.1;6;5.8;Cruz;T;150x150x12.5;Cajon HSS;429x439x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;135.84
58;11.6;2.1;6;5.8;Cruz;L;150x150x12.5;Cajon HSS;439x409x19.0;Cajon HSS;420x390x16.0;Cajon HSS;210x210x12.5;132.48
58;11.6;2.1;6;5.9;Cruz;T;150x150x12.5;Cajon HSS;409x419x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;129.2
58;11.6;2.1;6;5.9;Cruz;L;150x150x12.5;Cajon HSS;419x429x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;132.57
58;11.6;2.1;6;6;Cruz;T;150x150x12.5;Cajon HSS;429x439x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;136.03
58;11.6;2.1;6;6;Cruz;L;150x150x12.5;Cajon HSS;439x409x19.0;Cajon HSS;420x390x16.0;Cajon HSS;210x210x12.5;132.66
58;11.6;2.1;6;6.1;Cruz;T;150x150x12.5;Cajon HSS;409x419x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;129.38
58;11.6;2.1;6;6.1;Cruz;L;150x150x12.5;Cajon HSS;419x429x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;132.75
58;11.6;2.1;6;6.2;Cruz;T;150x150x12.5;Cajon HSS;429x439x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;136.22
58;11.6;2.1;6;6.2;Cruz;L;150x150x12.5;Cajon HSS;439x409x19.0;Cajon HSS;420x390x16.0;Cajon HSS;210x210x12.5;132.84
58;11.6;2.1;6;6.3;Cruz;T;150x150x12.5;Cajon HSS;409x419x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;129.55
58;11.6;2.1;6;6.3;Cruz;L;150x150x12.5;Cajon HSS;419x429x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;132.93
58;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;429x439x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;136.4
58;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;439x409x19.0;Cajon HSS;420x390x16.0;Cajon HSS;210x210x12.5;133.02
58;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;409x419x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;129.73
58;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;419x429x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;133.12
58;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;429x439x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;136.59
58;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;439x409x19.0;Cajon HSS;420x390x16.0;Cajon HSS;210x210x12.5;133.21
